epoch,train_loss,val_loss,mean_iou,mean_dice,iou_oil,dice_oil,precision_oil,recall_oil
65,0.152875,0.171692,0.8632034193698668,0.9255604217010981,0.8058104953967373,0.8924640735568438,0.8698977317798879,0.9162324002648494
66,0.156024,0.178462,0.8612468568025167,0.924377728609519,0.802439458538005,0.8903926894597388,0.8751194841724332,0.906208481964031
67,0.149690,0.174255,0.8635318385389747,0.9257160474400234,0.8051877293050638,0.892081988187493,0.8820280445597285,0.9023677776518768
68,0.155902,0.170852,0.8644879597647832,0.9262579360631115,0.8058648065128886,0.8924973825355258,0.8905345040684066,0.8944689331046248
69,0.149864,0.173541,0.8625052591806395,0.9251303162502954,0.8043703465824211,0.8915800995133217,0.8743124964199084,0.9095435124036632
70,0.153787,0.172901,0.8619945074529738,0.9248148907289184,0.8033078148973364,0.8909270045425596,0.877682843143369,0.9045769964879125
71,0.152345,0.169032,0.8648038908192552,0.926450945359979,0.8064778721229516,0.8928732364434535,0.8888178531787752,0.8969657960893254
72,0.155712,0.170089,0.8644178303668879,0.9262004972767548,0.8053284432324571,0.8921683433852169,0.8957070290904359,0.8886575083470948
73,0.151334,0.182872,0.8599933958799751,0.9235938471853643,0.7996350293400483,0.8886635526685492,0.8856476069631076,0.891700109301284
74,0.153820,0.184248,0.8561181775073011,0.92139583295584,0.7972062454428194,0.8871616682440284,0.8517205296441221,0.9256803666084931
75,0.150831,0.178061,0.8605643685062394,0.9239757515308271,0.8015760627043396,0.889860916003842,0.8735731770904758,0.9067675629893535
76,0.154968,0.176312,0.8616239474830505,0.9246009570316578,0.8029512402082982,0.8907076600868381,0.8756038009532588,0.9063417378750398
77,0.149884,0.173663,0.8605377006585281,0.923970197620998,0.8018197042619086,0.8900110287009689,0.8705675692584975,0.9103428382929218
78,0.146245,0.176599,0.8616352759838141,0.9245802543858124,0.8022193903163889,0.8902571957962954,0.8838973372110694,0.8967092391649849
79,0.147686,0.177001,0.8613255806765977,0.9244079369379666,0.8020990163898116,0.8901830688489867,0.8801198850993026,0.900479036662107
80,0.148555,0.175475,0.8622411285442635,0.9249384382018617,0.8030316679381643,0.8907571422264164,0.8848469785819271,0.896746788340433
81,0.147880,0.172916,0.8627644178284146,0.9252539743175665,0.8039078486327861,0.8912959154117346,0.8836815929860847,0.8990425973215251
82,0.144343,0.173489,0.8627693720700602,0.9252502666189779,0.8037330090427462,0.8911884464201193,0.8857592452538797,0.8966846138917841
83,0.146565,0.172309,0.863490845892785,0.92566756353241,0.8044642700764166,0.8916377934624867,0.8896533447410557,0.8936311149443487
84,0.147596,0.174809,0.8613643431625115,0.9244362696399278,0.8022979635251285,0.8903055762831885,0.8785551091246381,0.9023746238271213
85,0.141672,0.174678,0.8608969037534797,0.9241771109194148,0.8021459646567034,0.8902119810361827,0.8727257126207004,0.9084132996874096
86,0.148912,0.175785,0.8621712955649157,0.924908881329852,0.8032575449929593,0.8908960866109621,0.881133719982779,0.9008771976397185
87,0.142662,0.176994,0.8602254754249514,0.9237808896541321,0.8012796913863397,0.8896782606477303,0.8714075797444751,0.9087315071184158
88,0.144861,0.174402,0.862213034553583,0.9249338283547682,0.8033212227137345,0.8909352505759939,0.8811112397393155,0.9009807984344896
89,0.145734,0.177191,0.8618846765232978,0.9247383529298586,0.8028426794442496,0.8906408624536628,0.8810373405368558,0.9004560530737863
90,0.147028,0.176364,0.8623198681901593,0.924998574893563,0.8035088613888809,0.8910506386645631,0.8807781002769891,0.9015656224759099
91,0.145691,0.176690,0.8604941608271734,0.923937063706405,0.8015603244576235,0.8898512179423584,0.8726353803560009,0.9077600138935445
92,0.146393,0.176065,0.8608257826542193,0.9241283014142692,0.8018669933908713,0.8900401598254101,0.8745912543993376,0.906044662770681
93,0.147120,0.177137,0.8610974748389579,0.9242796229041172,0.8019737393080257,0.8901059119940236,0.8777875329892172,0.9027749504315958
94,0.142767,0.175874,0.8619144215967276,0.924750892740192,0.8027451101401559,0.8905808210210545,0.8826232282535899,0.8986832080506554
95,0.142539,0.177421,0.860335500179227,0.9238369047692022,0.8011785425343939,0.8896159082675671,0.8742132842343997,0.9055710192180525
96,0.147298,0.176532,0.8606332221595435,0.9240202940732489,0.8017715667979092,0.8899813734132896,0.8725704728179586,0.9081012398423371
97,0.147247,0.175856,0.8603901411706925,0.9238700013637805,0.8012718917787411,0.8896734528927686,0.8740771117512632,0.9058364831561039
98,0.142882,0.175497,0.8614921010365701,0.9245067417342747,0.8023305787340811,0.8903256574580464,0.8802806632573861,0.900602547252232
99,0.144178,0.176962,0.8604520079753686,0.9238993559111726,0.8011572921250287,0.889602807736811,0.8762971106811085,0.9033188022099458
100,0.142976,0.175690,0.8611659052457742,0.9243183910715287,0.8020186883385364,0.890133596869629,0.8784030687942327,0.9021816734595166
